0,1,2,3,4,5,6,7,8,9,10,11,12,13,winner,turn,move_number
14,3,0,0,1,12,0,12,0,0,1,0,5,0,player_2,player_1,28
2,1,7,6,1,6,6,1,5,4,4,4,0,1,player_1,player_1,4
28,0,0,0,0,0,0,20,0,0,0,0,0,0,player_2,,44
5,8,1,7,0,3,0,4,1,3,0,2,4,10,player_2,player_1,12
2,0,0,2,1,5,5,6,8,0,10,2,7,0,player_2,player_2,13
2,5,5,4,0,1,6,2,6,5,0,5,1,6,player_2,player_2,4
16,0,10,0,0,5,1,5,1,0,0,8,0,2,player_2,player_2,17
18,1,0,0,2,3,0,19,3,0,0,0,0,2,player_1,player_2,33
12,0,0,1,3,6,1,20,0,2,0,3,0,0,player_1,player_1,35
6,1,11,1,5,9,2,7,0,0,1,1,1,3,player_1,player_1,14
13,6,1,0,3,0,0,17,1,0,2,1,1,3,player_1,player_1,48
23,0,0,0,0,0,0,25,0,0,0,0,0,0,player_1,,55
14,8,1,3,3,1,2,8,0,0,3,2,0,3,player_2,player_1,23
18,0,0,3,2,2,0,15,0,3,2,0,2,1,player_2,player_2,51
11,1,4,1,7,1,1,20,0,0,0,0,2,0,player_1,player_1,42
6,1,8,0,1,1,2,6,1,0,4,6,1,11,player_1,player_2,18
5,2,0,1,1,2,2,16,1,8,2,3,3,2,player_1,player_2,22
14,0,0,0,4,4,1,9,1,2,9,4,0,0,player_2,player_2,33
5,7,1,1,7,0,7,2,0,0,3,4,9,2,player_2,player_1,8
16,1,3,6,0,3,12,6,0,0,0,0,1,0,player_1,player_2,35
7,0,3,0,0,4,1,17,2,0,1,8,5,0,player_1,player_2,29
7,4,0,1,4,1,4,15,0,0,5,6,0,1,player_1,player_2,20
21,0,0,0,0,4,0,22,0,0,0,0,1,0,tie,player_1,46
12,0,0,6,0,0,4,7,0,3,4,3,9,0,player_2,player_1,27
7,2,8,1,6,0,2,9,2,2,1,7,1,0,player_1,player_2,11
13,1,1,0,2,1,4,10,4,10,0,0,1,1,player_2,player_2,34
9,0,2,1,1,0,4,19,1,8,2,0,0,1,player_1,player_2,28
20,1,1,1,1,2,1,9,0,0,7,2,1,2,player_2,player_1,31
19,0,1,0,1,1,1,20,1,2,1,1,0,0,player_1,player_2,32
1,4,0,5,5,5,5,0,4,4,0,5,5,5,player_1,player_2,2
4,3,0,12,2,0,8,6,1,0,0,2,0,10,player_2,player_2,13
10,0,3,0,3,0,3,17,3,0,0,3,0,6,player_1,player_2,35
14,2,0,1,1,5,10,7,0,1,2,0,5,0,player_1,player_1,21
5,1,1,11,9,6,0,4,6,0,3,0,1,1,player_1,player_1,13
7,1,2,0,3,3,3,8,3,10,2,1,1,4,player_2,player_2,18
1,4,4,0,1,6,2,3,1,0,8,6,6,6,player_2,player_1,6
10,2,0,1,3,1,1,15,3,4,2,1,4,1,player_2,player_2,31
7,0,11,0,10,0,0,15,3,0,0,2,0,0,player_1,player_1,18
7,3,0,12,10,1,3,3,6,0,0,1,1,1,player_1,player_2,15
13,1,3,0,1,1,4,13,0,1,4,7,0,0,player_1,player_1,46
24,0,0,0,1,2,0,20,0,0,0,1,0,0,player_2,player_2,66
3,3,8,0,3,2,7,3,3,7,7,1,1,0,player_2,player_2,9
2,1,0,5,0,0,11,16,1,1,1,9,0,1,player_1,player_2,16
6,9,0,0,1,3,2,9,8,1,1,3,5,0,player_1,player_2,14
6,1,8,8,1,8,2,3,1,2,3,2,3,0,player_1,player_1,10
14,0,0,0,0,2,0,22,0,7,0,0,0,3,tie,player_1,40
10,1,1,1,2,0,2,13,1,2,8,0,1,6,player_2,player_2,13
2,6,6,5,4,0,0,2,6,6,5,5,0,1,player_1,player_1,4
10,0,0,0,1,0,0,24,0,0,2,3,0,8,player_1,player_1,36
5,2,0,4,3,1,1,7,9,2,2,4,8,0,player_1,player_2,15
17,0,2,1,0,1,0,14,0,0,0,2,5,6,player_2,player_2,24
17,1,1,0,3,0,5,11,1,2,0,1,5,1,player_1,player_1,24
7,4,0,2,10,0,3,5,0,3,1,4,0,9,player_1,player_1,15
5,10,0,4,2,1,1,8,1,4,3,2,2,5,tie,player_2,16
4,1,3,1,7,0,8,3,6,1,6,1,7,0,player_1,player_1,8
8,8,2,1,0,1,3,6,4,0,9,1,5,0,player_1,player_2,19
12,6,0,0,0,1,0,17,0,2,3,4,1,2,player_1,player_1,24
21,0,1,0,0,3,4,16,0,1,0,2,0,0,player_2,player_1,33
10,2,1,0,6,12,5,4,0,1,2,4,1,0,player_2,player_2,18
10,1,0,5,3,3,1,8,4,0,10,0,2,1,player_2,player_2,17
7,0,0,1,0,7,5,15,0,6,1,5,1,0,player_1,player_1,32
2,1,7,2,0,3,1,6,1,1,1,8,8,7,player_1,player_2,8
1,5,0,0,6,2,7,3,6,6,4,4,4,0,player_2,player_2,4
2,0,2,3,0,3,9,4,6,6,1,6,6,0,player_1,player_2,7
6,2,4,3,6,1,5,6,4,4,5,0,0,2,player_2,player_1,22
1,5,0,5,1,6,6,1,5,4,4,0,5,5,player_1,player_2,3
12,0,2,0,6,1,5,19,0,0,1,1,1,0,player_2,player_2,42
24,2,1,0,9,0,1,5,0,2,1,0,1,2,player_2,player_1,23
4,1,1,8,7,3,0,11,3,1,0,0,9,0,player_2,player_2,11
2,0,2,1,3,1,1,17,0,0,0,2,10,9,player_1,player_2,16
10,0,1,0,0,7,4,14,0,3,1,2,6,0,player_2,player_1,18
4,7,2,1,9,4,9,2,0,1,1,7,0,1,player_1,player_1,10
2,6,6,1,6,0,3,3,1,7,0,6,0,7,player_2,player_1,7
1,5,1,6,5,5,5,0,4,4,4,4,4,0,player_2,player_1,2
15,1,2,0,0,1,0,18,7,1,3,0,0,0,player_1,player_1,45
21,1,0,2,2,5,1,14,0,0,1,0,1,0,tie,player_1,36
7,1,5,3,0,0,2,15,5,1,6,3,0,0,player_1,player_2,21
3,2,6,2,7,0,6,2,5,0,6,2,0,7,player_1,player_1,6
4,0,1,1,0,2,2,16,9,1,5,1,6,0,player_1,player_2,15
22,0,0,1,1,1,3,12,0,3,0,1,4,0,player_2,player_2,32
9,12,3,0,5,0,0,11,3,0,3,0,1,1,player_2,player_1,20
6,1,5,0,2,11,1,7,1,2,2,8,2,0,tie,player_2,15
21,0,0,0,9,0,1,16,0,0,0,1,0,0,player_2,player_2,51
12,2,2,2,1,0,0,15,0,6,3,2,0,3,player_1,player_1,37
18,0,12,1,0,1,2,9,0,0,2,2,1,0,player_1,player_1,28
22,0,0,0,0,1,0,23,0,0,0,1,1,0,tie,player_1,35
23,0,0,0,1,2,0,13,4,0,0,1,0,4,player_2,player_2,34
10,1,0,5,8,1,4,6,0,2,3,4,2,2,player_2,player_1,20
6,2,1,2,1,9,0,23,0,0,1,1,0,2,player_1,player_1,19
14,2,1,1,0,6,0,20,3,0,0,0,1,0,player_1,player_2,33
13,1,1,4,0,0,14,8,1,3,0,2,1,0,player_2,player_1,28
12,1,0,6,2,8,3,6,4,1,0,2,0,3,player_2,player_1,31
4,2,5,4,0,4,1,17,2,2,1,4,0,2,player_1,player_1,15
2,5,0,0,7,6,2,3,6,1,6,5,5,0,player_2,player_2,5
7,0,2,4,10,5,0,7,4,0,3,3,3,0,player_1,player_2,17
2,2,7,0,2,2,7,11,1,1,7,6,0,0,player_1,player_2,9
24,0,7,1,3,0,0,6,1,2,1,2,1,0,player_2,player_2,43
1,4,4,0,0,6,6,2,0,1,6,6,6,6,player_1,player_1,4
15,1,0,0,3,1,0,21,0,2,3,1,1,0,player_1,player_1,46
3,0,6,6,2,3,0,4,1,7,6,2,7,1,player_1,player_2,7
4,8,2,1,7,1,10,2,1,0,0,3,0,9,player_2,player_1,10
14,1,5,6,0,2,1,11,1,1,1,1,4,0,player_2,player_2,25
12,0,2,2,0,12,0,12,0,0,1,4,3,0,player_2,player_1,41
2,1,7,2,6,6,5,1,4,4,4,0,5,1,player_1,player_1,5
1,5,0,1,2,2,8,4,1,6,0,6,6,6,player_2,player_1,6
9,0,3,3,1,4,1,8,3,9,2,0,0,5,player_1,player_2,20
10,4,4,0,0,0,0,24,0,0,0,2,4,0,player_1,player_1,35
11,2,0,8,7,0,1,8,0,0,0,2,1,8,player_1,player_1,9
7,10,0,3,0,9,0,3,0,1,8,3,1,3,player_2,player_1,15
5,7,1,3,0,9,8,2,6,1,0,0,3,3,player_1,player_2,11
18,0,8,0,0,0,0,20,1,0,1,0,0,0,player_2,player_1,40
12,0,4,2,0,0,6,11,2,5,0,4,2,0,player_1,player_2,32
3,0,2,4,1,2,9,4,1,9,1,8,2,2,player_1,player_2,13
4,2,8,0,8,6,0,9,1,1,0,0,1,8,player_2,player_2,9
10,1,0,0,6,0,2,22,4,1,0,0,1,1,player_1,player_2,32
23,0,3,0,2,1,1,12,1,1,3,0,0,1,player_2,player_2,23
10,3,3,2,0,0,0,5,4,10,1,2,8,0,player_1,player_2,11
5,3,5,8,1,1,2,3,8,4,2,0,6,0,player_1,player_1,11
2,1,6,0,6,6,5,1,5,5,0,5,5,1,player_2,player_2,4
18,1,1,1,1,4,0,15,0,3,3,0,1,0,player_1,player_1,27
0,0,5,5,5,5,4,0,0,5,5,5,5,4,player_2,player_1,2
11,11,1,1,0,0,2,10,2,0,0,1,4,5,player_2,player_1,25
9,0,7,2,2,10,0,9,0,0,1,0,7,1,player_2,player_1,19
21,1,0,0,0,1,1,13,2,0,2,0,2,5,player_2,player_2,38
8,1,4,1,0,1,3,12,2,4,6,3,2,1,player_2,player_2,28
10,2,1,1,13,2,0,7,1,6,0,3,2,0,player_2,player_1,23
15,0,1,1,0,1,4,10,1,0,0,1,0,14,player_1,player_1,24
3,1,2,7,2,0,0,7,8,7,0,2,7,2,player_1,player_2,10
5,1,1,3,0,0,0,19,1,1,0,0,4,13,player_1,player_1,22
18,0,3,2,0,5,0,14,1,0,1,1,3,0,player_2,player_1,26
11,2,3,0,1,4,5,12,0,1,2,3,2,2,player_2,player_1,29
3,6,1,6,6,0,2,3,6,1,7,0,6,1,player_2,player_1,6
3,1,6,6,6,0,7,1,5,0,5,1,0,7,player_2,player_2,6
4,1,8,0,7,3,7,2,6,1,1,0,0,8,player_2,player_2,8
11,0,0,1,2,8,3,17,3,0,1,2,0,0,player_1,player_1,21
15,0,0,0,2,4,0,10,1,4,1,0,0,11,player_2,player_2,19
12,1,0,6,9,0,1,8,0,1,0,0,9,1,player_2,player_2,31
16,1,8,0,0,0,1,20,1,1,0,0,0,0,tie,player_2,30
9,1,0,1,1,4,5,11,1,9,0,5,0,1,player_2,player_2,20
10,3,5,1,4,2,0,16,3,1,0,3,0,0,player_1,player_1,26
1,4,4,0,5,0,1,3,1,2,8,7,6,6,tie,player_2,5
10,1,1,1,6,1,1,11,2,1,4,1,3,5,player_2,player_2,36
5,1,10,0,1,7,3,11,7,0,1,0,2,0,player_1,player_1,11
7,1,1,1,1,2,6,11,3,10,2,1,0,2,player_2,player_1,18
15,1,9,2,0,0,0,8,9,0,0,2,1,1,player_2,player_1,17
13,7,1,0,3,9,0,2,0,2,1,7,3,0,player_2,player_2,10
17,0,0,0,2,4,0,17,0,0,1,3,0,4,player_2,player_1,47
19,0,1,0,2,0,0,24,0,0,1,0,0,1,player_1,player_2,47
6,9,1,1,3,3,1,12,1,0,6,0,5,0,player_1,player_1,17
12,1,3,1,1,0,2,15,2,1,0,2,2,6,player_1,player_1,31
5,3,2,4,0,2,3,5,9,0,5,2,5,3,player_1,player_1,13
10,1,0,4,4,1,4,14,0,5,1,0,3,1,player_2,player_2,37
6,9,2,0,7,2,0,6,0,8,0,2,3,3,tie,player_1,13
18,0,0,1,3,0,4,12,0,0,1,0,2,7,player_2,player_2,45
3,2,0,1,3,10,3,4,7,3,2,0,0,10,player_2,player_1,13
1,5,4,0,5,5,0,2,5,5,0,6,5,5,player_2,player_1,3
4,4,0,0,5,10,1,7,7,5,0,1,1,3,player_1,player_1,12
12,0,3,0,12,1,0,15,0,0,1,0,4,0,player_1,player_1,26
